,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2021-06-25,957,647,84,106,2,3,"1,043",756
2021-06-26,752,642,100,83,2,3,854,728
2021-06-27,862,417,118,90,1,0,981,507
2021-06-28,717,490,97,71,1,3,815,564
2021-06-29,821,531,113,105,0,1,934,637
2021-06-30,"1,137",737,117,134,0,0,"1,254",871
2021-07-01,739,721,120,107,0,2,859,830
2021-07-02,928,704,141,85,3,3,"1,072",792
2021-07-03,920,695,136,150,4,4,"1,060",849
2021-07-04,"1,047",712,179,125,4,2,"1,230",839
2021-07-05,"1,035",874,123,134,1,2,"1,159","1,010"
2021-07-06,"1,078",801,122,104,1,0,"1,201",905
2021-07-07,"1,095",921,156,161,4,1,"1,255","1,083"
2021-07-08,"1,003",951,120,174,3,2,"1,126","1,127"
2021-07-09,"1,076","1,143",130,218,2,0,"1,208","1,361"
2021-07-10,"1,294","1,405",171,169,4,1,"1,469","1,575"
2021-07-11,"1,455","1,195",184,166,1,1,"1,640","1,362"
2021-07-12,"1,305","1,478",122,163,3,1,"1,430","1,642"
2021-07-13,"1,190","1,804",150,264,2,4,"1,342","2,072"
2021-07-14,"1,265","1,885",164,297,2,0,"1,431","2,182"
2021-07-15,"1,586","1,953",188,239,10,3,"1,784","2,195"
2021-07-16,"1,385","1,884",181,297,1,2,"1,567","2,183"
2021-07-17,"1,251","1,892",150,226,4,6,"1,405","2,124"
2021-07-18,"1,395","1,790",180,210,3,5,"1,578","2,005"
2021-07-19,952,"1,700",129,241,4,3,"1,085","1,944"
2021-07-20,"1,191","1,755",104,250,3,1,"1,298","2,006"
2021-07-21,"1,072","1,643",111,268,2,4,"1,185","1,915"
2021-07-22,954,"1,649",125,210,3,2,"1,082","1,861"
2021-07-23,"1,174","1,375",142,166,6,2,"1,322","1,543"
2021-07-24,"1,008","1,062",123,131,3,3,"1,134","1,196"
2021-07-25,"1,330",871,149,131,8,0,"1,487","1,002"
2021-07-26,"1,000",946,95,129,3,0,"1,098","1,075"
2021-07-27,"1,097",936,111,123,3,2,"1,211","1,061"
2021-07-28,"1,149",933,98,125,5,1,"1,252","1,059"
